,medallion, hack_license, vendor_id, rate_code, store_and_fwd_flag, pickup_datetime, dropoff_datetime, passenger_count, trip_time_in_secs, trip_distance, pickup_longitude, pickup_latitude, dropoff_longitude, dropoff_latitude
1004,84F1B1B17DA76D79A1C908AD330D97B8,A248C25BCE338E05AB785CD61B5AB10A,VTS,1,,12/04/2013 23:20,12/04/2013 23:33,1,780,7.64,-73.9618,40.759735,-74.011597,40.718884
1005,C01368C76C8DEFA6C678CF0D54AE87F0,62A632004381731C09D581B4E9176D4D,VTS,1,,12/04/2013 23:21,12/04/2013 23:35,5,840,2.33,-73.98082,40.744511,-73.99781,40.718258
1006,E6D0E34FE3D04B841CAEE3B11D945045,BD015F5002DD51BBFC88D8065545D1EA,VTS,1,,12/04/2013 23:00,12/04/2013 23:31,1,1860,4.93,0,0,0,0
1007,AB6ED43D7295CFC950A8133CBCAF40FB,39147E7A38A0473E1AA1807A87F32DA0,VTS,1,,12/04/2013 23:32,12/04/2013 23:36,1,240,0.85,-73.917282,40.770134,-73.906616,40.765564
1008,709971D22019A77FAF7694F53202ADE3,F3CE712A7D3448E4749C621F607FC881,VTS,1,,12/04/2013 23:19,12/04/2013 23:36,1,1020,3.68,-73.982582,40.731354,-73.983749,40.769615
1009,D5BF97DF0678BF1ABFACB1A255E20D02,4F21E796165706174E230D751D3BA2E9,VTS,1,,12/04/2013 23:32,12/04/2013 23:34,2,120,0.66,-73.985786,40.726921,-73.978455,40.729626
1010,DF55E62C009EE4F61F8F34552741884B,25FA713ED11FD320B16ABF32F2540DD3,VTS,1,,12/04/2013 23:28,12/04/2013 23:36,4,480,2.32,-73.978127,40.762165,-73.953156,40.78331
1011,EF31913B7B5850C047FEA95D0A78F9B6,C92B2C2D1E81AB10FC227010FF02433A,VTS,1,,12/04/2013 23:20,12/04/2013 23:35,6,900,3.3,-74.007515,40.743248,-73.975189,40.756084
1012,F0EC6BD4D30DA6399625E7ECC4842C9C,3229776055F1B4306591EED32C571EA0,VTS,1,,12/04/2013 23:28,12/04/2013 23:35,1,420,1.78,-73.987732,40.702351,-74.001839,40.685638
1013,99C386C2E40B9FE86884E0772662172F,B09D27405AC5AAEB206E3F87303DB70C,VTS,1,,12/04/2013 23:26,12/04/2013 23:37,4,660,1.34,-73.986679,40.718246,-74.005608,40.726372
1014,8D84D22AC7C633EC7D8ECE18258E918F,F546DFAEDC4DF3A7452C32521B15954D,VTS,1,,12/04/2013 23:29,12/04/2013 23:35,2,360,1.48,-73.977219,40.680717,-73.950569,40.675236
1015,D8C88385BBAF6D308833CA3E6F381E3D,C0614B531F0D567775DBB64B28D441E6,VTS,1,,12/04/2013 23:09,12/04/2013 23:31,1,1320,9.59,-73.96711,40.75676,-73.860481,40.835728
1016,40A8A42685D2278E42FE2483A96398D8,BABDF58003BEAD9349F83CF1221E2267,VTS,1,,12/04/2013 23:20,12/04/2013 23:39,1,1140,4.3,-73.954842,40.764313,-74.003136,40.748192
1017,DE147C2E840115BC5D1FC031CFFA49CC,52F2DE81AE0613BDECA1139B090C1BFE,VTS,1,,12/04/2013 20:22,12/04/2013 20:28,4,360,1.27,-73.965919,40.772091,-73.981361,40.767853
1018,5F5C74564DB2AD39E049BC65354EEFB5,1B5979C67DFC69241939591186A7FA7B,VTS,1,,12/04/2013 20:25,12/04/2013 20:28,3,180,0.52,-73.954887,40.769508,-73.960182,40.76696
